Date,SP500TR
2013-01-25,2641.6398925781
2013-01-24,2627.330078125
2013-01-23,2627.2299804688
2013-01-22,2623.2199707031
2013-01-18,2611.5400390625
2013-01-17,2602.6398925781
2013-01-16,2588.0200195312
2013-01-15,2587.1999511719
2013-01-14,2584.2700195312
2013-01-11,2586.6899414062
2013-01-10,2586.5200195312
2013-01-09,2567.0200195312
2013-01-08,2560.169921875
2013-01-07,2567.6298828125
2013-01-04,2575.6599121094
2013-01-03,2563.1899414062
2013-01-02,2568.5500488281
2012-12-31,2504.4399414062
2012-12-28,2462.7099609375
2012-12-27,2489.9699707031
2012-12-26,2492.5400390625
2012-12-24,2504.5100097656
2012-12-21,2510.3200683594
2012-12-20,2533.9099121094
2012-12-19,2519.5400390625
2012-12-18,2538.7199707031
2012-12-17,2509.8400878906
2012-12-14,2480.3601074219
2012-12-13,2490.5600585938
2012-12-12,2505.7600097656
2012-12-11,2504.080078125
2012-12-10,2487.7800292969
2012-12-07,2486.8400878906
2012-12-06,2479.3999023438
2012-12-05,2470.5900878906
2012-12-04,2465.8999023438
2012-12-03,2470.0700683594
2012-11-30,2481.8200683594
2012-11-29,2481.419921875
2012-11-28,2470.4699707031
2012-11-27,2450.4799804688
2012-11-26,2463.1201171875
2012-11-23,2468.0600585938
2012-11-21,2435.9699707031
2012-11-20,2430.2900390625
2012-11-19,2428.4699707031
2012-11-16,2381.0200195312
2012-11-15,2369.3200683594
2012-11-14,2372.9399414062
2012-11-13,2405.3798828125
2012-11-12,2414.2399902344
2012-11-09,2413.919921875
2012-11-08,2409.7199707031
2012-11-07,2439.4799804688
2012-11-06,2496.4599609375
2012-11-05,2476.9399414062
2012-11-02,2471.3000488281
2012-11-01,2494.669921875
2012-10-31,2467.5100097656
2012-10-26,2466.8000488281
2012-10-25,2468.6000976562
2012-10-24,2461.1799316406
2012-10-23,2468.7800292969
2012-10-22,2504.9599609375
2012-10-19,2503.8000488281
2012-10-18,2545.9499511719
2012-10-17,2552.0500488281
2012-10-16,2541.2800292969
2012-10-15,2515.4399414062
2012-10-12,2495.2800292969
2012-10-11,2502.6599121094
2012-10-10,2501.75
2012-10-09,2517.1398925781
2012-10-08,2542.2099609375
2012-10-05,2551.0300292969
2012-10-04,2550.9799804688
2012-10-03,2532.7900390625
